id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
1287397,167556,1003,7.5,1,,,,,,
1287407,167556,1093,569,1,,,,,,
1287412,167556,1258,7.68,0,,,,,,
1287433,167556,1004,16.7,1,,,,,,
1287479,167557,1004,3.8,7,,,,,,
1287481,167557,1008,392,0,49,,,,,
1287490,167557,1093,227,2,,,,,,
1287494,167557,1003,7.6,7,,,,,,
1287512,167557,1258,0.54,0,,,,,,
1287520,167558,1258,2.811,0,49,,,,,
1287593,167558,1004,20.68,12,1,17.74,22.47,,,
1287595,167558,1008,472,0,49,,,,,
1287604,167558,1003,7.1,12,1,6.56,7.25,,,
1287611,167558,1093,328,12,1,184,515,,,
1287620,167558,1257,0.812,0,49,,,,,
1287696,167559,1003,7.36,12,1,6.88,7.75,,,
1287719,167559,1093,691,12,1,514,730,,,
1287723,167559,1257,0.185,0,49,,,,,
1287724,167559,1258,3.876,0,49,,,,,
1287728,167559,1004,27.42,12,1,23.05,29.73,,,
1287762,167559,1008,519,0,49,,,,,
1287770,167560,1008,501,0,49,,,,,
1287809,167560,1004,24.63,1,1,,,,,
1287825,167560,1093,519,1,1,,,,,
1287828,167560,1003,7.19,1,1,,,,,
1287837,167560,1257,0.345,0,49,,,,,
1287838,167560,1258,3.539,0,49,,,,,
1287860,167561,1003,13.8,1,,,,,,
1287865,167561,1093,229,1,,,,,,
1287885,167561,1258,5.55,0,,,,,,
1287890,167561,1004,29.4,1,,,,,,
1287892,167561,1008,462,0,49,,,,,
1287921,167562,1004,26.93,1,47,,,,,
1287923,167562,1008,479,1,47,,,,,
1287928,167562,1003,4.13,1,47,,,,,
1287934,167562,1093,142,1,47,,,,,
1287937,167562,1253,4,1,47,,,,,
1287938,167562,1258,17.59,1,47,,,,,
1287942,167563,1003,2.97,1,47,,,,,
1287948,167563,1093,261,1,47,,,,,
1287949,167563,1257,0.54,1,47,,,,,
1287950,167563,1258,0.25,1,47,,,,,
1287951,167563,1004,1.7,1,47,,,,,
1287953,167563,1008,338,1,47,,,,,
1287959,167564,1008,388,0,49,,,,,
1287962,167564,1004,7.5,1,47,,,,,
1287997,167564,1003,2,1,47,,,,,
1288004,167564,1093,295,1,47,,,,,
1288024,167564,1258,5.5,1,47,,,,,
1288057,167565,1257,0.04,1,47,,,,,
1288058,167565,1258,9.5,1,47,,,,,
1288070,167565,1093,230,1,47,,,,,
1288076,167565,1003,5.4,1,47,,,,,
1288101,167565,1004,18.9,1,47,,,,,
1288103,167565,1008,459,1,47,,,,,
1288134,167566,1253,2,1,1,,,,,
1288139,167566,1093,44,1,1,,,,,
1288153,167566,1003,1.59,1,1,,,,,
1288177,167566,1004,3.31,1,1,,,,,
1288179,167566,1008,387,0,49,,,,,
1288181,167566,1258,0.967,0,40,,,,,
1288205,167566,1257,0.963,0,40,,,,,
1288211,167567,1004,47.7,1,,,,,,
1288212,167567,1008,472,0,,,,,,
1288236,167567,1003,12.1,1,,,,,,
1288241,167567,1093,12,1,,,,,,
1288254,167567,1258,25.29,0,,,,,,
1288289,167568,1004,52.31,3,1,51.89,52.98,,,
1288300,167568,1093,24,3,1,19,28,,,
1288329,167568,1253,2,2,1,2,2,,,
1288331,167568,1258,32.277,0,49,,,,,
1288332,167568,1003,14.32,3,1,14.07,14.67,,,
1288342,167568,1008,642,0,49,,,,,
1288426,167569,1003,5.87,0,39,,,,,
1288431,167569,1093,88,0,39,,,,,
1288441,167569,1253,1,2,1,,,,,
1288443,167569,1258,24.104,0,39,,,,,
1288450,167569,1004,27,2,1,,,,,
1288452,167569,1008,522,0,49,,,,,
1288490,167570,1003,18.3,1,,,,,,
1288492,167570,1258,13.12,0,,,,,,
1288496,167570,1093,250,1,,,,,,
1288499,167570,1004,29.8,1,,,,,,
1288508,167570,1008,529,0,49,,,,,
1288548,167570,1253,1,0,40,,,,,
1288549,167570,1257,1.763,0,40,,,,,
1288552,167571,1004,32.09,5,1,,,,,
1288556,167571,1003,5.87,3,1,,,,,
1288562,167571,1093,90,3,1,,,,,
1288572,167571,1258,19.412,2,1,,,,,
1288596,167571,1253,21,2,1,,,,,
1288601,167571,1008,539,0,49,,,,,
1288639,167572,1093,74,18,1,64,84,,,
1288656,167572,1004,4.83,3,47,4.35,5.56,,,
1288671,167572,1003,4.78,3,47,4.69,4.84,,,
1288673,167572,1253,27,3,47,14,53,,,
1288674,167572,1258,2.927,3,47,2.7,3.22,,,
1288690,167572,1008,180,0,49,,,,,
1288727,167573,1093,61,2,44,56,66,,,
1288744,167573,1253,92,2,44,70,113,,,
1288745,167573,1258,10.329,2,44,10.28,10.377,,,
1288777,167573,1008,249,0,49,,,,,
1288778,167573,1004,16.2,11,,,,,,
1288787,167573,1003,3.5,4,,,,,,
1288818,167574,1004,4.03,0,58,,,,,
1288841,167574,1003,4.53,0,58,,,,,
1288846,167574,1093,53,0,58,,,,,
1288864,167574,1253,90,0,58,,,,,
1288865,167574,1258,1.799,0,58,,,,,
1288870,167574,1008,145,0,49,,,,,
1288939,167575,1008,207,0,49,,,,,
1288942,167575,1004,11,291,,,,,,
1288954,167575,1003,3.5,152,,,,,,
1288959,167575,1093,80,19,,,,,,
1288966,167575,1253,44,10,,,,,,
1288967,167575,1258,6.79,0,,,,,,
1289000,167576,1003,4.9,1,,,,,,
1289019,167576,1093,70,1,,,,,,
1289023,167576,1253,12,1,,,,,,
1289024,167576,1258,1.63,0,,,,,,
1289029,167576,1008,126,0,,,,,,
1289056,167576,1004,2.6,67,,,,,,
1289064,167577,1004,2,23,,,,,,
1289072,167577,1093,46,12,,,,,,
1289075,167577,1003,1.1,41,,,,,,
1289086,167577,1008,144,0,49,,,,,
1289117,167577,1253,1,0,39,,,,,
1289118,167577,1258,1.16,0,39,,,,,
1289138,167578,1003,3.78,0,58,,,,,
1289145,167578,1093,118,0,58,,,,,
1289159,167578,1253,3,0,58,,,,,
1289160,167578,1258,1.721,0,58,,,,,
1289165,167578,1004,6.59,0,58,,,,,
1289167,167578,1008,387,0,58,,,,,
1289226,167579,1003,1.05,0,58,,,,,
1289231,167579,1093,47,0,58,,,,,
1289247,167579,1253,15,0,58,,,,,
1289248,167579,1257,0.179,0,58,,,,,
1289249,167579,1258,3.382,0,58,,,,,
1289275,167579,1004,5.45,0,58,,,,,
1289277,167579,1008,383,0,49,,,,,
1289296,167580,1004,13.69,0,58,,,,,
1289298,167580,1008,435,0,49,,,,,
1289329,167580,1093,42,0,58,,,,,
1289344,167580,1253,13,0,58,,,,,
1289345,167580,1257,0.158,0,58,,,,,
1289346,167580,1258,3.828,0,58,,,,,
1289359,167580,1003,3,0,58,,,,,
1289361,167581,1003,9.7,1,47,,,,,
1289364,167581,1093,36,1,47,,,,,
1289367,167581,1253,12,1,47,,,,,
1289368,167581,1257,0.07,1,47,,,,,
1289369,167581,1258,12.1,1,47,,,,,
1289370,167581,1004,34,1,47,,,,,
1289374,167581,1008,512,1,47,,,,,
1289385,167582,1008,475,0,49,,,,,
1289390,167582,1093,230,1,47,,,,,
1289406,167582,1257,0.05,1,47,,,,,
1289407,167582,1258,12.1,1,47,,,,,
1289415,167582,1003,5.4,1,47,,,,,
1289433,167582,1004,21.6,1,47,,,,,
1289454,167583,1093,287,3,44,282,289,,,
1289459,167583,1003,2.56,3,44,2.22,2.82,,,
1289460,167583,1004,2.32,3,44,2.11,2.63,,,
1289464,167583,1008,348,0,49,,,,,
1289482,167584,1093,287,0,40,,,,,
1289525,167584,1004,0.09,0,40,,,,,
1289527,167584,1008,291,0,40,,,,,
1289576,167585,1004,7.19,2,47,7.09,7.28,,,
1289593,167585,1093,71,2,47,67,75,,,
1289599,167585,1253,28,2,47,15,41,,,
1289600,167585,1258,4.38,2,47,4.28,4.48,,,
1289612,167585,1003,5,2,47,4.69,5.3,,,
1289616,167585,1008,187,0,49,,,,,
1289622,167586,1008,519,0,49,,,,,
1289623,167586,1004,27.5,1,47,,,,,
1289626,167586,1003,7.5,1,47,,,,,
1289629,167586,1093,38,1,47,,,,,
1289632,167586,1253,10,1,47,,,,,
1289633,167586,1257,0.16,1,47,,,,,
1289634,167586,1258,12.5,1,47,,,,,
1289637,167587,1258,18.509,0,51,,,,,
1289680,167587,1004,29.66,9,1,28.18,30.38,,,
1289692,167587,1093,79,27,1,70,87,,,
1289695,167587,1003,7.65,9,1,5.41,8.1,,,
1289707,167587,1253,23,1,1,,,,,
1289720,167587,1008,535,0,49,,,,,
1289733,167588,1004,1.7,0,64,,,,,
1289735,167588,1008,105,0,65,,,,,
1289786,167588,1253,6,0,65,,,,,
1289787,167588,1258,0.971,0,64,,,,,
1289793,167588,1003,2.76,0,64,,,,,
1289800,167588,1093,296,0,65,,,,,
1289816,167589,1093,164,0,63,,,,,
1289817,167589,1003,2.9,0,63,,,,,
1289839,167589,1253,7,0,63,,,,,
1289840,167589,1258,1.015,0,63,,,,,
1289848,167589,1004,1.73,0,63,,,,,
1289850,167589,1008,101,0,63,,,,,
1289890,167590,1004,8.2,1,1,,,,,
1289892,167590,1008,257,0,49,,,,,
1289908,167590,1003,5.65,1,1,,,,,
1289919,167590,1093,544,1,1,,,,,
1289928,167591,1003,10.91,2,1,10.88,10.94,,,
1289939,167591,1093,370,2,1,363,376,,,
1289945,167591,1257,0.018,0,49,,,,,
1289946,167591,1258,2.069,0,49,,,,,
1289970,167591,1004,15.92,2,1,14.88,16.96,,,
1289972,167591,1008,456,0,49,,,,,
1290011,167592,1004,17.89,3,1,17.59,18.1,,,
1290013,167592,1008,474,0,49,,,,,
1290052,167592,1003,2.19,3,1,2.13,2.25,,,
1290063,167592,1093,275,3,1,268,286,,,
1290070,167592,1257,0.099,0,49,,,,,
1290071,167592,1258,7.905,0,49,,,,,
1290095,167593,1003,2.19,1,1,,,,,
1290106,167593,1093,189,1,1,,,,,
1290109,167593,1257,0.079,0,49,,,,,
1290110,167593,1258,8.094,0,49,,,,,
1290134,167593,1004,18.79,1,1,,,,,
1290136,167593,1008,487,0,49,,,,,
1290171,167594,1003,9.42,5,1,8.75,10.44,,,
1290182,167594,1093,947,5,1,861,1050,,,
1290194,167594,1257,0.032,0,49,,,,,
1290195,167594,1258,1.432,0,49,,,,,
1290219,167594,1004,18.42,5,1,17.72,19.02,,,
1290221,167594,1008,467,0,49,,,,,
1290266,167595,1004,17.29,6,1,16.57,17.96,,,
1290268,167595,1008,459,0,49,,,,,
1290317,167595,1003,11.16,6,1,10.13,12.38,,,
1290327,167595,1093,1187,6,1,1130,1250,,,
1290332,167595,1257,0.084,0,49,,,,,
1290333,167595,1258,2.614,0,49,,,,,
1290346,167596,1003,9.67,3,1,9.38,10.19,,,
1290357,167596,1093,815,3,1,714,898,,,
1290362,167596,1257,0.062,0,49,,,,,
1290363,167596,1258,2.137,0,49,,,,,
1290387,167596,1004,18.93,3,1,18.54,19.27,,,
1290389,167596,1008,469,0,49,,,,,
1290426,167597,1004,10.7,1,1,,,,,
1290428,167597,1008,320,0,49,,,,,
1290463,167597,1003,3.13,1,1,,,,,
1290474,167597,1093,528,1,1,,,,,
1290477,167597,1257,0.019,0,49,,,,,
1290478,167597,1258,0.339,0,49,,,,,
1290520,167598,1257,0.023,0,49,,,,,
1290521,167598,1258,0.629,0,49,,,,,
1290545,167598,1003,5.4,3,1,5.19,5.5,,,
1290556,167598,1093,515,3,1,486,535,,,
1290607,167598,1004,8.02,3,1,7.89,8.17,,,
1290609,167598,1008,298,0,49,,,,,
1290643,167599,1004,9.34,1,1,,,,,
1290645,167599,1008,309,0,49,,,,,
1290651,167599,1003,7.25,1,1,,,,,
1290662,167599,1093,510,1,1,,,,,
1290667,167599,1257,0.019,0,49,,,,,
1290668,167599,1258,0.266,0,49,,,,,
1290692,167600,1003,11.8,1,1,,,,,
1290703,167600,1093,507,1,1,,,,,
1290711,167600,1257,0.034,0,49,,,,,
1290712,167600,1258,1.381,0,49,,,,,
1290736,167600,1004,11.6,1,1,,,,,
1290738,167600,1008,329,0,49,,,,,
1290780,167601,1004,4.55,1,1,,,,,
1290782,167601,1008,215,0,49,,,,,
1290819,167601,1003,3.31,1,1,,,,,
1290830,167601,1093,331,1,1,,,,,
1290837,167601,1257,0.013,0,49,,,,,
1290838,167601,1258,0.48,0,49,,,,,
1290862,167602,1004,1.39,1,1,,,,,
1290864,167602,1008,259,0,49,,,,,
1290887,167602,1003,15.34,1,1,,,,,
1290895,167602,1093,4331,1,1,,,,,
1290920,167602,1253,33,1,1,,,,,
1290922,167602,1258,0.45,1,1,,,,,
1290924,167603,1003,1.86,1,1,,,,,
1290932,167603,1093,526,1,1,,,,,
1290958,167603,1258,0.05,1,1,,,,,
1290959,167603,1004,0.17,1,1,,,,,
1290961,167603,1008,31,0,49,,,,,
1290985,167604,1004,0.08,6,1,0.07,0.1,,,
1290987,167604,1008,84,0,49,,,,,
1291012,167604,1003,1.75,6,1,1.5,2.12,,,
1291024,167604,1093,42,6,1,39,46,,,
1291039,167605,1003,3.24,6,1,2.79,3.77,,,
1291051,167605,1093,77,6,1,68,86,,,
1291066,167605,1257,0.032,0,49,,,,,
1291067,167605,1258,0.805,0,49,,,,,
1291090,167605,1004,10.3,6,1,9.6,11.5,,,
1291092,167605,1008,242,0,49,,,,,
1291174,167606,1004,8.92,8,1,6.78,11.37,,,
1291176,167606,1008,182,0,49,,,,,
1291188,167606,1003,2.16,8,1,1.62,2.88,,,
1291200,167606,1093,146,6,1,74,222,,,
1291212,167606,1257,0.042,0,49,,,,,
1291213,167606,1258,1.157,0,49,,,,,
1291254,167607,1004,1.5,1,2,,,,,
1291256,167607,1008,103,0,49,,,,,
1291262,167607,1003,22.3,1,2,,,,,
1291268,167607,1093,65,1,2,,,,,
1291274,167607,1253,54,1,2,,,,,
1291275,167607,1258,0.22,0,67,,,,,
1291300,167608,1003,5.8,1,2,,,,,
1291308,167608,1004,2.4,1,2,,,,,
1291310,167608,1008,135,0,49,,,,,
1291314,167609,1004,4.89,1,2,,,,,
1291326,167609,1003,24.38,1,2,,,,,
1291328,167609,1093,70,1,2,,,,,
1291336,167609,1253,389,1,2,,,,,
1291339,167609,1008,155,0,49,,,,,
1291343,167610,1004,0.4,1,2,,,,,
1291345,167610,1008,110,0,49,,,,,
1291349,167610,1003,26.7,1,2,,,,,
1291357,167610,1253,100,1,2,,,,,
1291361,167611,1008,899,0,49,,,,,
1291392,167611,1004,99.6,4,42,98.95,100.07,,,
1291396,167611,1003,0.56,4,42,0,1.81,,,
1291419,167611,1253,52,3,1,52,52,,,
1291420,167611,1258,10.926,0,49,,,,,
1291436,167612,1004,2.2,1,2,,,,,
1291440,167612,1003,11.7,1,2,,,,,
1291447,167612,1008,67,0,49,,,,,
1291448,167613,1003,22.7,1,2,,,,,
1291454,167613,1004,5,1,2,,,,,
1291456,167613,1008,136,0,49,,,,,
1291459,167614,1008,150,0,49,,,,,
1291463,167614,1004,5.9,1,2,,,,,
1291464,167614,1003,23.2,1,2,,,,,
1291474,167615,1003,39.9,1,2,,,,,
1291477,167615,1093,693,1,2,,,,,
1291481,167615,1253,107,1,2,,,,,
1291482,167615,1258,6.97,1,2,,,,,
1291487,167615,1004,30,1,2,,,,,
1291491,167615,1008,430,0,49,,,,,
1291494,167616,1004,8,1,2,,,,,
1291499,167616,1003,16.6,1,2,,,,,
1291507,167616,1008,156,0,49,,,,,
1291508,167617,1003,20.2,1,2,,,,,
1291512,167617,1004,0.4,1,2,,,,,
1291514,167617,1008,84,0,49,,,,,
1291517,167618,1004,0.4,1,2,,,,,
1291521,167618,1003,13,1,2,,,,,
1291528,167618,1008,56,0,49,,,,,
1291530,167619,1003,19.3,1,2,,,,,
1291536,167619,1004,3.8,1,2,,,,,
1291538,167619,1008,111,0,49,,,,,
1291542,167620,1008,1,0,49,,,,,
1291560,167620,1093,132,1,2,,,,,
1291572,167621,1003,57,1,2,,,,,
1291580,167621,1004,2.6,1,2,,,,,
1291582,167621,1008,251,0,49,,,,,
1291587,167622,1008,116,0,49,,,,,
1291590,167622,1004,2.66,1,2,,,,,
1291596,167622,1003,21.5,1,2,,,,,
1291601,167622,1253,18,1,2,,,,,
1291602,167622,1258,0.63,1,2,,,,,
1291606,167623,1003,0.4,1,2,,,,,
1291611,167623,1253,150,1,2,,,,,
